#Type ObjectName       	        RA     	        Dec     	 limit_cz   cz    Redshift    Redshift_uncertainty  zQual    MajorDiam	 MinorDiam
HCG46a                       	10h22m07.11s	+17d50m17.2s NULL	  8201	  0.027356	   0.000117	 NULL   	      0.36	      0.27
HCG46b                       	10h22m12.87s	+17d51m13.6s NULL	  8571	  0.028590	   0.000120	 NULL   	      0.32	      0.26
HCG46c                       	10h22m12.60s	+17d51m34.2s NULL	  7906	  0.026372	   0.000140	 NULL   	      0.26	      0.23
HCG46d                       	10h22m17.20s	+17d52m54.7s NULL	  7703	  0.025694	   0.000110	 NULL   	      0.42	      0.25
HCG47a                       	10h25m46.26s	+13d43m00.7s NULL	  9692	  0.032328	   0.000065	 NULL   	      1.12	      0.59
HCG47b                       	10h25m48.60s	+13d43m40.6s NULL	  9487	  0.031645	   0.000107	 NULL   	      0.61	      0.54
HCG47c                       	10h25m49.00s	+13d45m11.4s NULL	  9553	  0.031865	   0.000103	 NULL   	      0.40	      0.33
HCG47d                       	10h25m47.75s	+13d44m56.9s NULL	  9489	  0.031652	   0.000156	 NULL   	      0.54	      0.45
HCG49a                       	10h56m41.67s	+67d11m05.5s NULL	  9937	  0.033146	   0.000057	 NULL   	      0.48	      0.44
HCG49b                       	10h56m39.17s	+67d10m49.0s NULL	  9931	  0.033126	   0.000031	 NULL   	      0.46	      0.21
HCG49c                       	10h56m36.69s	+67d10m52.4s NULL	  9926	  0.033110	   0.000200	 NULL   	      0.34	      0.26
HCG49d                       	10h56m33.65s	+67d10m40.8s NULL	 10010	  0.033390	   0.000240	 NULL   	      0.34	      0.22
HCG50a                       	11h17m06.40s	+54d55m01.7s >       30000	  0.139663	   0.000394	 NULL   	      0.20	      0.19
HCG50b                       	11h17m08.31s	+54d55m02.8s >       30000	  0.137328	   0.000370	 NULL   	      0.27	      0.15
HCG50c                       	11h17m04.05s	+54d55m15.4s >       30000	  0.137915	   0.000141	 NULL   	      0.19	      0.17
HCG50d                       	11h17m06.54s	+54d55m25.2s >       30000	  0.141918	   0.000207	 NULL   	      0.24	      0.14
HCG50e                       	11h17m08.70s	+54d55m14.0s >       30000	  0.138929	   0.000207	 NULL   	      0.14	      0.10
HCG51a                       	11h22m26.32s	+24d17m56.7s NULL	  7626	  0.025438	   0.000083	 NULL   	      1.33	      1.23
HCG51b                       	11h22m14.22s	+24d18m00.5s NULL	  8219	  0.027416	   0.000157	 NULL   	       0.8	       0.6
HCG51c                       	11h22m30.07s	+24d16m45.4s NULL	  8902	  0.029694	   0.000067	 NULL   	       0.9	       0.6
HCG51d                       	11h22m30.54s	+24d17m59.7s NULL	  7529	  0.025114	   0.000107	 NULL   	       0.3	       0.3
HCG51e                       	11h22m13.28s	+24d19m01.8s NULL	  7700	  0.025684	   0.000077	 NULL   	       0.3	       0.3
HCG51f                       	11h22m26.38s	+24d17m43.6s NULL	  7532	  0.025124	   0.000100	 NULL   	      0.57	      0.28
HCG51g                       	11h22m28.14s	+24d17m43.5s NULL	  7532	  0.025124	   0.000137	 NULL   	      0.23	      0.19
HCG53a                       	11h28m50.38s	+20d47m42.1s NULL	  6261	  0.020884	   0.000103	 NULL   	      2.28	      0.71
HCG53b                       	11h28m59.87s	+20d44m20.9s NULL	  6335	  0.021131	   0.000083	 NULL   	      0.82	      0.48
HCG53c                       	11h28m58.51s	+20d44m58.8s NULL	  6249	  0.020844	   0.000057	 NULL   	       0.7	       0.5
HCG53d                       	11h29m14.60s	+20d46m23.3s NULL	  6280	  0.020948	       NULL  NULL   	      0.49	      0.27
HCG55a                       	11h32m06.96s	+70d48m55.7s NULL	 16070	  0.053604	   0.000200	 NULL   	      0.44	      0.43
HCG55b                       	11h32m05.64s	+70d48m23.6s NULL	 15690	  0.052336	   0.000334	 NULL   	      0.26	      0.23
HCG55c                       	11h32m05.69s	+70d48m38.7s NULL	 15480	  0.051636	   0.000334	 NULL   	      0.57	      0.38
HCG55d                       	11h32m06.79s	+70d49m16.4s NULL	 16070	  0.053604	   0.000334	 NULL   	      0.27	      0.22
HCG56a                       	11h32m46.70s	+52d56m27.2s NULL	  8205	  0.027370	   0.000108	 NULL   	      1.15	      0.19
HCG56b                       	11h32m40.25s	+52d57m01.4s NULL	  7919	  0.026415	   0.000127	 NULL   	      0.65	      0.36
HCG56c                       	11h32m36.73s	+52d56m51.7s NULL	  8110	  0.027052	   0.000093	 NULL   	      0.74	      0.56
HCG56d                       	11h32m35.33s	+52d56m50.1s NULL	  8346	  0.027839	   0.000187	 NULL   	      0.42	      0.26
HCG56e                       	11h32m32.77s	+52d56m21.4s NULL	  7988	  0.026645	   0.000099	 NULL   	      0.44	      0.31
HCG57a                       	11h37m53.90s	+21d58m53.0s NULL	  8727	  0.029110	   0.000103	 NULL   	       1.7	       0.5
HCG57b                       	11h37m43.62s	+22d00m35.4s NULL	  9022	  0.030094	   0.000067	 NULL   	       1.1	       0.5
HCG57c                       	11h37m51.64s	+21d58m27.3s NULL	  9081	  0.030291	   0.000120	 NULL   	       0.8	       0.7
HCG57d                       	11h37m54.92s	+21d59m07.8s NULL	  8977	  0.029944	   0.000137	 NULL   	       0.4	       0.3
HCG57e                       	11h37m49.06s	+22d01m34.1s NULL	  8816	  0.029407	   0.000063	 NULL   	       0.7	       0.4
HCG57f                       	11h37m53.86s	+21d56m11.3s NULL	  9394	  0.031335	   0.000130	 NULL   	      0.69	      0.40
HCG57g                       	11h37m44.43s	+22d01m16.6s NULL	  9463	  0.031565	   0.000077	 NULL   	       0.4	       0.2
HCG57h                       	11h37m50.50s	+22d00m45.2s NULL	  9240	  0.030821	   0.000350	 NULL   	      0.33	      0.28
HCG58a                       	11h42m11.11s	+10d16m40.0s NULL	  6267	  0.020904	   0.000020	 NULL   	       1.4	       0.8
HCG58b                       	11h42m23.73s	+10d15m50.9s NULL	  6503	  0.021692	   0.000057	 NULL   	      1.68	      0.96
HCG58c                       	11h41m52.95s	+10d18m15.8s NULL	  6103	  0.020357	   0.000063	 NULL   	      1.09	      0.84
HCG58d                       	11h42m05.86s	+10d21m04.1s NULL	  6274	  0.020928	   0.000037	 NULL   	      0.91	      0.73
HCG58e                       	11h42m04.91s	+10d23m03.3s NULL	  6102	  0.020355	   0.000110	 NULL   	      0.65	      0.50
